iter	Passed	Remaining
767	5409	1633
768	5415	1626
769	5422	1619
770	5428	1612
771	5435	1605
772	5442	1598
773	5448	1591
774	5456	1584
775	5462	1576
776	5470	1569
777	5476	1562
778	5482	1555
779	5490	1548
780	5496	1541
781	5503	1534
782	5509	1527
783	5517	1520
784	5523	1512
785	5529	1505
786	5536	1498
787	5542	1491
788	5550	1484
789	5556	1477
790	5563	1469
791	5570	1462
792	5576	1455
793	5584	1448
794	5590	1441
795	5597	1434
796	5603	1427
797	5610	1420
798	5616	1412
799	5623	1405
800	5630	1398
801	5637	1391
802	5644	1384
803	5650	1377
804	5657	1370
805	5664	1363
806	5670	1356
807	5677	1349
808	5683	1341
809	5690	1334
810	5697	1327
811	5703	1320
812	5710	1313
813	5717	1306
814	5724	1299
815	5730	1292
816	5737	1285
817	5744	1278
818	5752	1271
819	5758	1264
820	5765	1256
821	5772	1250
822	5779	1242
823	5786	1235
824	5792	1228
825	5799	1221
826	5806	1214
827	5812	1207
828	5820	1200
829	5827	1193
830	5834	1186
831	5840	1179
832	5847	1172
833	5854	1165
834	5861	1158
835	5867	1151
836	5874	1143
837	5881	1137
838	5896	1131
839	5907	1125
840	5914	1118
841	5921	1111
842	5927	1104
843	5934	1096
844	5941	1089
845	5947	1082
846	5954	1075
847	5960	1068
848	5967	1061
849	5974	1054
850	5980	1047
851	5987	1040
852	5994	1032
853	6001	1026
854	6007	1018
855	6013	1011
856	6021	1004
857	6028	997
858	6035	990
859	6041	983
860	6047	976
861	6054	969
862	6061	962
863	6068	955
864	6075	948
865	6082	941
866	6088	933
867	6094	926
868	6102	919
869	6108	912
870	6116	905
871	6122	898
872	6129	891
873	6135	884
874	6142	877
875	6149	870
876	6155	863
877	6162	856
878	6168	849
879	6175	842
880	6182	835
881	6188	827
882	6196	820
883	6202	813
884	6209	806
885	6215	799
886	6222	792
887	6230	785
888	6236	778
889	6243	771
890	6250	764
891	6257	757
892	6263	750
893	6269	743
894	6277	736
895	6283	729
896	6293	722
897	6299	715
898	6306	708
899	6312	701
900	6320	694
901	6326	687
902	6332	680
903	6340	673
904	6347	666
905	6354	659
906	6360	652
907	6367	645
908	6374	638
909	6380	631
910	6388	624
911	6394	617
912	6401	610
913	6407	602
914	6414	595
915	6421	588
916	6427	581
917	6434	574
918	6440	567
919	6448	560
920	6454	553
921	6461	546
922	6468	539
923	6475	532
924	6482	525
925	6488	518
926	6495	511
927	6501	504
928	6507	497
929	6515	490
930	6522	483
931	6529	476
932	6535	469
933	6542	462
934	6549	455
935	6556	448
936	6562	441
937	6569	434
938	6576	427
939	6582	420
940	6589	413
941	6596	406
942	6602	399
943	6610	392
944	6616	385
945	6623	378
946	6630	371
947	6636	364
948	6643	357
949	6649	349
950	6656	342
951	6663	335
952	6670	328
953	6676	321
954	6683	314
955	6690	307
956	6697	300
