iter	Passed	Remaining
882	303719	384207
883	303956	383727
884	304198	383255
885	304427	382767
886	304687	382319
887	304943	381865
888	305177	381386
889	305424	380922
890	305666	380453
891	305913	379991
892	306158	379526
893	306447	379116
894	306689	378649
895	306931	378183
896	307174	377718
897	307420	377257
898	307660	376789
899	307904	376327
900	308148	375865
901	308383	375393
902	308619	374923
903	308856	374454
904	309099	373992
905	309338	373528
906	309585	373072
907	309829	372614
908	310074	372158
909	310316	371698
910	310554	371234
911	310796	370774
912	311040	370318
913	311278	369855
914	311516	369394
915	311754	368932
916	312011	368493
917	312254	368038
918	312489	367574
919	312728	367116
920	312964	366654
921	313203	366196
922	313456	365755
923	313696	365300
924	313937	364845
925	316729	367351
926	317694	367731
927	317934	367268
928	318173	366807
929	318413	366346
930	318650	365883
931	318890	365423
932	319131	364965
933	319373	364509
934	319610	364047
935	319843	363582
936	320069	363109
937	320313	362657
938	320556	362205
939	320800	361753
940	321044	361302
941	321284	360847
942	321529	360399
943	321770	359946
944	322011	359494
945	322248	359037
946	322487	358584
947	322724	358128
948	322973	357686
949	323212	357234
950	323448	356779
951	323693	356334
952	323931	355882
953	324167	355428
954	324409	354981
955	324653	354537
956	324892	354088
957	325196	353710
958	325436	353262
959	325686	352826
960	325927	352381
961	326166	351933
962	326405	351487
963	326640	351036
964	326882	350594
965	327118	350145
966	327368	349712
967	327613	349273
968	327853	348830
969	328094	348388
970	328352	347965
971	328602	347534
972	328849	347100
973	329095	346665
974	329341	346230
975	329579	345787
976	329825	345354
977	330065	344914
978	330299	344470
979	330536	344028
980	330772	343585
981	331009	343144
982	331249	342706
983	331482	342262
984	331726	341829
985	331964	341391
986	332204	340955
987	332440	340516
988	332685	340085
989	332927	339653
990	335715	341813
991	337235	342674
992	337474	342232
993	337715	341792
994	337951	341347
995	338190	340907
996	338428	340465
997	338673	340031
998	338911	339590
999	339181	339181
1000	339423	338745
1001	339667	338311
1002	339902	337869
1003	340139	337429
1004	340378	336991
1005	340644	336581
1006	340882	336143
1007	341119	335704
1008	341359	335270
1009	341602	334838
1010	341847	334408
1011	342088	333975
1012	342345	333558
1013	342591	333131
1014	342827	332694
1015	343058	332253
1016	343299	331822
1017	343542	331393
1018	343777	330957
1019	344018	330527
1020	344253	330092
1021	344496	329664
1022	344783	329279
1023	345035	328861
1024	345269	328427
1025	345512	328001
1026	345751	327571
1027	345991	327144
1028	346229	326713
1029	346470	326287
1030	346709	325859
1031	346951	325435
1032	347190	325008
1033	347427	324578
1034	347668	324154
1035	347902	323723
1036	348140	323297
1037	348377	322870
1038	348614	322442
1039	348859	322024
1040	349099	321600
1041	349333	321172
1042	349570	320746
1043	349829	320341
1044	350059	319910
1045	350302	319492
1046	350547	319074
1047	350791	318658
1048	351036	318241
1049	351269	317815
1050	351504	317390
1051	351742	316969
1052	351977	316545
1053	352239	316146
1054	352474	315723
1055	353022	315581
1056	354964	316680
1057	355201	316257
1058	355436	315831
1059	355686	315420
1060	355925	314999
1061	356168	314582
1062	356408	314162
1063	356649	313743
1064	356892	313328
1065	357141	312917
1066	357377	312495
1067	357612	312073
1068	357849	311653
1069	358084	311232
1070	358337	310826
1071	358570	310404
1072	358808	309986
1073	359057	309578
1074	359300	309165
1075	359535	308746
1076	359775	308331
1077	360017	307918
1078	360259	307506
1079	360501	307093
1080	360734	306674
1081	360975	306261
1082	361209	305844
1083	361444	305427
1084	361680	305011
1085	361914	304594
1086	362157	304185
1087	362425	303798
1088	362689	303406
1089	362926	302993
1090	363161	302579
1091	363405	302171
1092	363648	301764
1093	363884	301352
1094	364126	300945
1095	364365	300534
1096	364611	300131
1097	364854	299725
1098	365093	299317
1099	365337	298912
1100	365575	298503
1101	365814	298095
1102	366049	297685
1103	366286	297275
1104	366548	296887
1105	366787	296480
1106	367023	296072
1107	367260	295664
1108	367502	295261
1109	367742	294856
1110	367985	294454
1111	368229	294053
1112	368473	293653
1113	368715	293251
1114	368954	292847
1115	369191	292442
1116	369429	292037
1117	369661	291628
1118	369902	291227
1119	370134	290820
1120	370372	290416
1121	371458	290677
1122	374628	292564
1123	374892	292175
1124	375126	291765
1125	375395	291381
1126	375638	290977
1127	375885	290578
1128	376126	290173
1129	376361	289765
1130	376605	289363
1131	376844	288958
1132	377084	288554
1133	377318	288146
1134	377555	287740
1135	377818	287354
1136	378064	286956
1137	378313	286560
1138	378562	286165
1139	378799	285761
1140	379042	285361
1141	379288	284964
1142	379527	284562
1143	379764	284159
1144	380021	283771
1145	380264	283373
1146	380502	282971
1147	380740	282570
1148	380982	282172
1149	381220	281771
1150	381477	281384
1151	381721	280989
1152	381968	280595
1153	382206	280196
1154	382482	279825
1155	382725	279429
1156	382970	279035
1157	383205	278634
1158	383443	278236
1159	383679	277836
1160	383918	277439
1161	384172	277054
1162	384415	276659
1163	384651	276261
1164	384886	275863
1165	385124	275466
1166	385358	275067
1167	385599	274673
1168	385846	274284
1169	386089	273892
1170	386336	273504
1171	386575	273109
1172	386813	272714
1173	387058	272325
1174	387301	271934
1175	387539	271541
1176	387777	271148
1177	388017	270755
1178	388262	270367
1179	388496	269971
1180	388735	269580
1181	388975	269189
1182	389219	268801
1183	389462	268413
1184	389700	268021
1185	389946	267636
1186	390200	267256
1187	392080	267987
1188	392307	267587
1189	392552	267199
1190	392791	266807
1191	393034	266419
1192	393270	266026
1193	393509	265635
1194	393760	265253
1195	393996	264860
1196	394233	264468
1197	394472	264079
1198	394712	263690
1199	394948	263299
1200	395202	262919
1201	395444	262532
1202	395688	262147
1203	395931	261761
1204	396175	261377
1205	396418	260991
1206	396660	260606
1207	396904	260221
1208	397141	259833
1209	397380	259446
1210	397616	259058
1211	397873	258683
1212	398112	258297
1213	398351	257911
1214	398592	257526
1215	398829	257139
1216	399070	256756
1217	399307	256369
1218	399550	255987
1219	399795	255607
1220	400074	255247
1221	400321	254869
1222	400554	254481
1223	400793	254097
1224	401037	253717
1225	401275	253334
1226	401512	252949
1227	401749	252565
1228	401990	252184
1229	402226	251800
1230	402465	251418
1231	402702	251035
1232	402940	250653
1233	403181	250272
1234	403420	249891
1235	403657	249509
1236	403899	249131
1237	404139	248751
1238	404382	248373
1239	404633	248001
1240	404892	247633
1241	405129	247253
1242	405368	246873
1243	405606	246493
1244	405845	246115
1245	406083	245735
1246	406326	245359
1247	406560	244978
1248	406803	244603
1249	407040	244224
1250	407275	243844
1251	407516	243468
1252	407777	243104
1253	410347	244114
1254	410590	243737
1255	410833	243359
1256	411076	242982
1257	411313	242603
1258	411549	242222
1259	411791	241845
1260	412055	241482
1261	412291	241102
1262	412525	240721
1263	412763	240343
1264	413006	239967
1265	413243	239589
1266	413481	239212
1267	413716	238833
1268	413952	238455
1269	414209	238089
1270	414446	237711
1271	414684	237335
1272	414927	236961
1273	415168	236587
1274	415410	236213
1275	415671	235850
1276	415914	235478
1277	416169	235112
1278	416407	234737
1279	416648	234364
1280	416878	233985
1281	417117	233611
1282	417367	233244
1283	417607	232871
1284	417838	232493
1285	418138	232154
1286	418381	231784
1287	418619	231410
1288	418866	231042
1289	419110	230673
1290	419355	230304
1291	419592	229931
1292	419832	229560
1293	420081	229194
1294	420322	228824
1295	420561	228453
1296	420799	228081
1297	421071	227729
1298	421309	227357
1299	421548	226987
1300	421786	226617
1301	422026	226247
1302	422265	225878
1303	422500	225506
1304	422747	225141
1305	422992	224775
1306	423236	224409
1307	423479	224042
1308	423721	223675
1309	423961	223307
1310	424199	222939
1311	424437	222570
1312	424673	222201
1313	424924	221840
1314	425162	221472
1315	425405	221107
1316	425644	220740
1317	425882	220373
1318	426228	220062
1319	429660	221340
1320	430164	221106
1321	430405	220737
1322	430640	220365
1323	430879	219995
1324	431118	219626
1325	431360	219258
1326	431600	218890
1327	431859	218531
1328	432102	218164
1329	432345	217798
1330	432587	217431
1331	432829	217064
1332	433065	216695
1333	433299	216325
1334	433535	215955
1335	433770	215586
1336	434008	215218
1337	434245	214851
1338	434483	214483
1339	434723	214117
1340	434965	213752
1341	435203	213385
1342	435447	213022
1343	435688	212657
1344	435927	212291
1345	436167	211926
1346	436400	211558
1347	436635	211191
1348	436872	210825
1349	437109	210459
1350	437360	210101
1351	437634	209753
1352	437878	209391
1353	438115	209027
1354	438353	208662
1355	438596	208300
1356	438838	207939
1357	439077	207575
1358	439321	207214
1359	439561	206852
1360	439802	206490
1361	440036	206125
1362	440274	205762
1363	440515	205401
1364	440758	205041
1365	441000	204681
1366	441236	204317
1367	441475	203956
1368	441714	203595
1369	441953	203233
1370	442191	202872
1371	442437	202515
1372	442669	202151
1373	442913	201793
1374	443158	201435
1375	443402	201077
1376	443644	200719
1377	443884	200360
1378	444131	200003
1379	444362	199640
1380	444605	199283
1381	444852	198928
1382	445096	198571
1383	445335	198212
1384	447377	198654
1385	447627	198299
1386	447872	197942
1387	448102	197578
1388	448343	197219
1389	448583	196860
1390	448813	196496
1391	449049	196136
1392	449290	195778
1393	449544	195426
1394	449795	195072
1395	450043	194717
1396	450291	194363
1397	450537	194008
1398	450774	193649
1399	451016	193292
1400	451260	192937
1401	451498	192579
1402	451734	192220
1403	451973	191863
1404	452241	191518
1405	452489	191165
1406	452730	190809
1407	452964	190451
1408	453202	190094
1409	453443	189738
1410	453679	189381
1411	453923	189027
1412	454165	188673
1413	454404	188317
1414	454643	187962
1415	454882	187607
1416	455161	187268
1417	455412	186918
1418	455655	186564
1419	455888	186207
1420	456126	185853
1421	456373	185502
1422	456605	185145
1423	456839	184789
1424	457077	184434
1425	457316	184080
1426	457553	183726
1427	457791	183372
1428	458036	183022
1429	458279	182670
1430	458524	182320
1431	458767	181969
1432	459006	181616
1433	459246	181264
1434	459483	180911
1435	459721	180559
1436	459963	180208
1437	460201	179856
1438	460443	179505
1439	460684	179155
1440	460929	178806
1441	461172	178456
1442	461411	178105
1443	461653	177755
1444	461898	177407
1445	462139	177057
1446	462385	176709
1447	462625	176359
1448	462864	176009
1449	463735	175899
1450	465096	175973
1451	465344	175625
1452	465587	175276
1453	465832	174927
1454	466072	174577
1455	466310	174225
1456	466560	173879
1457	466802	173530
1458	467048	173182
1459	467279	172829
1460	467518	172479
1461	467757	172129
1462	468001	171781
1463	468244	171433
1464	468487	171085
1465	468727	170736
1466	468969	170389
1467	469208	170040
1468	469446	169691
1469	469678	169339
1470	469922	168993
1471	470158	168643
1472	470391	168293
1473	470632	167946
1474	470870	167597
1475	471114	167251
1476	471382	166914
1477	471627	166569
1478	471870	166223
1479	472135	165885
1480	472388	165543
1481	472621	165194
1482	472894	164859
1483	473140	164515
1484	473381	164169
1485	473619	163822
1486	473856	163475
1487	474096	163129
1488	474332	162782
1489	474567	162435
1490	474807	162090
1491	475052	161747
1492	475298	161404
1493	475538	161059
1494	475783	160716
1495	476028	160373
1496	476271	160029
1497	476516	159686
1498	476755	159342
1499	476996	158998
1500	477231	158653
1501	477465	158307
1502	477680	157955
1503	477946	157620
1504	478191	157279
1505	478429	156934
1506	478674	156593
1507	478915	156250
1508	479141	155903
1509	479396	155565
1510	479640	155224
1511	479873	154879
1512	480086	154528
1513	480410	154213
1514	480691	153884
1515	481791	153817
1516	485229	154493
1517	485666	154210
1518	485887	153859
1519	486129	153514
1520	486352	153164
1521	486595	152820
1522	486832	152474
1523	487074	152130
1524	487307	151784
1525	487544	151439
1526	487777	151092
1527	488021	150750
1528	488260	150405
1529	488502	150062
1530	488738	149718
1531	488987	149377
1532	489225	149033
1533	489462	148689
1534	489703	148346
1535	489941	148003
1536	490183	147661
1537	490421	147317
1538	490660	146975
1539	490906	146634
1540	491146	146292
1541	491390	145951
1542	491626	145608
1543	491866	145266
1544	492103	144923
1545	492335	144579
1546	492577	144238
1547	492816	143897
1548	493082	143563
1549	493328	143224
1550	493577	142886
1551	493820	142546
1552	494063	142206
1553	494305	141866
1554	494541	141524
1555	494786	141185
1556	495031	140847
1557	495276	140508
1558	495513	140167
1559	495750	139827
1560	495986	139486
1561	496220	139145
1562	496456	138804
1563	496699	138466
1564	496943	138128
1565	497176	137787
1566	497413	137447
1567	497650	137107
1568	497886	136768
1569	498130	136430
1570	498373	136093
1571	498617	135755
1572	498863	135419
1573	499109	135083
1574	499349	134745
1575	499590	134407
1576	499828	134069
1577	500066	133731
1578	500304	133393
1579	500537	133054
1580	500780	132717
1581	502558	132787
1582	503194	132553
1583	503441	132216
1584	503688	131880
1585	503940	131545
1586	504172	131205
1587	504417	130868
1588	504652	130529
1589	504896	130193
1590	505139	129856
1591	505383	129520
1592	505623	129183
1593	505868	128847
1594	506109	128510
1595	506347	128173
1596	506581	127834
1597	506854	127506
1598	507095	127170
1599	507332	126833
1600	507571	126496
1601	507807	126159
1602	508044	125822
1603	508282	125486
1604	508528	125151
1605	508770	124816
1606	509016	124482
1607	509257	124147
1608	509495	123811
1609	509734	123476
1610	509976	123141
1611	510244	122813
1612	510482	122477
1613	510770	122154
1614	511007	121819
1615	511247	121484
1616	511479	121148
1617	511718	120813
1618	511963	120480
1619	512200	120145
1620	512446	119813
1621	512689	119480
1622	512932	119146
1623	513171	118813
1624	513409	118479
1625	513657	118147
1626	513902	117815
1627	514138	117481
1628	514378	117148
1629	514616	116814
1630	514865	116483
1631	515097	116149
1632	515340	115817
1633	515581	115485
1634	515824	115153
1635	516068	114822
1636	516309	114490
1637	516555	114159
1638	516799	113828
1639	517037	113495
1640	517276	113164
1641	517513	112831
1642	517752	112500
1643	517998	112169
1644	518232	111837
1645	518472	111506
1646	519092	111256
1647	521366	111359
1648	521600	111026
1649	521838	110693
